CUST_KEY,JOBPARTCHARGE,JOBLABOURCHARGE,MODEL_NEW,YEAR,AVG_MILE
10977-WEPGN83433DK10406,70.9364705882353,99.08764705882353,760,2003,1984.1730015082958
10978-5QKZW0S52EL662935,184.95499999999998,112.0,X5,2011,15247.25
10993-WEPPK7S52PP462738,41.083333333333336,233.04999999999998,328,2010,11254.888888888889
10997-WMWZS5S50SWM11626,436.4725,239.0475,COOPER COUNTRYMAN,2012,16191.1125
10998-WEPVL1S59SVR77426,125.42285714285713,60.26428571428571,X1,2012,17390.035714285714
10999-WEPKS6S59ES394977,293.4444,344.94,750,2011,10457.861349206349
11004-WMWRH33595TV84400,99.49555555555555,166.44074074074072,COOPER S CONVERT,2005,5238.926759660093
11006-WMWMR335K9TQ95574,66.54090909090908,89.89545454545454,COOPER CONVERTIBLE,2009,3493.7532467532465
11016-4QSET53515LQ10259,71.97769230769231,93.12461538461538,Z4,2005,7566.924908424908
11021-WEPGN834K3DK10581,158.07999999999998,151.75,760,2003,7580.2222222222235
11042-WEKPP93465WD19167,88.0,223.5,X3,2005,8120.9
11051-WEPEV53473KM04776,101.2425,59.575,3 SERIES E46,2003,5325.228571428572
11056-WMWRS33565TK62115,117.675,85.5875,COOPER 1.6,2005,8835.244886363636
11061-WMWRH33445TV82254,138.22181818181818,147.65090909090907,COOPER S 6SPD,2005,2457.8016528925623
11067-WMWRE33586TJ34793,82.54785714285715,111.22857142857143,COOPER S 6SPD,2006,12216.82619047619
11077-WMWSY3S51DT565398,161.02333333333334,46.541666666666664,COOPER S ROADSTER,2013,10530.388888888889
11087-WEPEK73435E260991,314.2907142857143,166.13357142857143,645,2005,9410.133766233766
11095-WMWRS33505TJ71860,483.68,202.0,COOPER 1.6,2005,7409.909090909091
11104-5QKVP53503LV83134,185.856,87.464,X5,2003,12006.773333333334
11105-WMWMV7S54PTK41801,69.452,91.80499999999999,COOPER S,2010,13925.128571428571
11109-WMWRE33515TD99816,45.20233333333333,125.33666666666666,COOPER S 6SPD,2005,4886.739157046657
11114-WEP3N5S54EV715996,101.62307692307692,55.667307692307695,428,2014,7203.4391025641025
11114-WEPVE33536KR75448,69.71333333333334,126.83555555555556,X5,2006,12551.60052910053
11116-WMWRV33435TV60462,29.23,79.5,COOPER CONVERTIBLE,2005,7516.714285714285
11126-5QKKW7S36H0Q26734,236.72818181818184,85.08181818181818,X4,2017,10139.560606060606
11126-WEP1J9S57VV371369,97.24600000000001,94.845,235,2015,18138.155
11128-WEPVQ7S54ES778945,135.42470588235292,97.89999999999999,535,2011,13513.54117647059
11129-5QKZV4S54EL741792,314.4584210526316,175.0236842105263,X5,2011,8842.599248120301
11130-WEKPP93444WP60323,164.32333333333332,519.4,X3,2004,12092.572222222223
11134-WMWRE33596TL16034,221.82,60.0,COOPER S 6SPD,2006,2742.3
11135-5QKVP13585LY14809,173.2955,176.7175,X5,2005,13862.531111111111
11135-WEP5E3S50VD541606,152.1031818181818,71.89999999999999,535,2015,11980.553030303032
11140-WEPVE13586KK42296,51.57333333333333,56.18333333333334,325,2006,2684.1666666666665
11144-WEPED53474PL11363,279.7776923076923,208.39076923076922,330,2004,12400.819444444445
11164-5QKZV4S5KSL746609,116.33666666666666,128.88333333333333,X5,2012,14191.29861111111
11164-WEPVD53538P009812,105.935,71.1,335,2008,15145.136363636364
11164-WESER934K4PK05588,225.44,64.2,3 SERIES E46,2004,8616.666666666666
11167-5YMGY0S51ELK26796,1008.55,421.79999999999995,X5,2011,11167.8
11170-5QKVE83548L164202,68.975,51.7125,X5,2008,11221.5
11173-WESER93403PK02598,170.66,0.0,3 SERIES E46,2003,3571.4285714285716
11178-5QKVG4S52PL226639,68.10346153846154,92.87461538461538,X6,2010,6250.745512820513
11178-WEPVE33576KR73718,69.764,117.556,X5,2006,5471.11958041958
112-WEPES53462EV89041,0.0,75.0,3 SERIES E46,2002,10735.235294117647
11205-5QKVG43548LJ35477,347.82500000000005,159.75,X6,2008,14623.4375
11208-WEPVQ7S53ES876882,254.63687499999997,109.15625,535,2011,8426.542261904762
11224-5QKVE83598L165894,52.92,14.775,X5,2008,10650.0
11227-WEKPP73405WP78551,140.68687500000001,159.13875000000002,X3,2005,17520.416017316016
11229-WEKPP93416WG85037,424.6066666666666,219.32500000000002,X3,2006,14714.274206349206
11237-WEPEV13405KL23761,45.64,67.8,3 SERIES E46,2005,9274.5
11250-WESDK9S51SE785220,108.11058823529413,78.11470588235295,M3,2012,4330.663585434174
11257-WMWSQ3S53ST264870,26.12,24.25,COOPER CLASSIC LIMITED,2012,13827.5
11267-5QKKR0S52E0K49119,133.594,69.0312,X5,2014,9351.058666666668
11267-5QKZV8S58SL424235,41.521249999999995,52.625,X5,2012,10310.8125
11267-WEPLM73579E165445,45.40888888888889,163.21,Z4,2009,2125.098765432099
11269-WEPES33482PG85331,120.048,91.7,3 SERIES E46,2002,19254.54727272727
11271-WEPEW53435PJ97227,225.44,64.2,330,2005,3964.3636363636365
11271-WEPNV93599SW51588,135.90428571428572,124.17857142857143,535,2009,21376.807142857142
11282-WEPNV33596SE86111,283.8066666666667,149.86666666666667,525,2006,11893.849206349207
11283-5QKWK9S51G0D88420,25.853333333333335,23.899999999999995,X3,2016,14198.222222222224
11283-WEPVE33526KR80057,21.5,82.95,X5,2006,6150.615384615385
11297-WEPNV33516SS38117,206.5685,158.405,525,2006,9938.249696484072
11309-WMWKQ3S5KVT892130,258.565,162.7,COOPER HATCH,2015,12932.25
11309-WMWRS33443TS45613,145.21875,140.18875,COOPER 1.6,2003,21065.559027777777
11310-WEPVH13528KS99681,201.112,126.10999999999999,323,2008,9227.72
11313-WEPLL5S56SJ103492,140.58035087719298,138.2359649122807,Z4,2012,15187.848538011696
11313-WEPPG7S51EP936035,37.395,45.0,323,2011,26494.0
11322-5QKVG4S55PL226280,32.89,29.55,X6,2010,19682.5
11322-5QKWK7S50V0K35723,21.133333333333336,18.958333333333332,X3,2015,18444.5
11322-5YMGZ0S56SLL29520,134.772,81.52000000000001,X6,2012,22513.15
